Age Group,Borough,1950,1950 - Boro share of NYC total,1960,1960 - Boro share of NYC total,1970,1970 - Boro share of NYC total,1980,1980 - Boro share of NYC total,1990,1990 - Boro share of NYC total,2000,2000 - Boro share of NYC total,2010,2010 - Boro share of NYC total,2020,2020 - Boro share of NYC total,2030,2030 - Boro share of NYC total,2040,2040 - Boro share of NYC total
Total Population,NYC Total,7891957,100,7781984,100,7894862,100,7071639,100,7322564,100,8008278,100,8242624,100,8550971,100,8821027,100,9025145,100
Total Population,   Bronx,1451277,18.39,1424815,18.31,1471701,18.64,1168972,16.53,1203789,16.44,1332650,16.64,1385108,16.8,1446788,16.92,1518998,17.22,1579245,17.5
Total Population,   Brooklyn,2738175,34.7,2627319,33.76,2602012,32.96,2230936,31.55,2300664,31.42,2465326,30.78,2552911,30.97,2648452,30.97,2754009,31.22,2840525,31.47
Total Population,   Manhattan,1960101,24.84,1698281,21.82,1539233,19.5,1428285,20.2,1487536,20.31,1537195,19.2,1585873,19.24,1638281,19.16,1676720,19.01,1691617,18.74
Total Population,   Queens,1550849,19.65,1809578,23.25,1986473,25.16,1891325,26.75,1951598,26.65,2229379,27.84,2250002,27.3,2330295,27.25,2373551,26.91,2412649,26.73
Total Population,   Staten Island,191555,2.43,221991,2.85,295443,3.74,352121,4.98,378977,5.18,443728,5.54,468730,5.69,487155,5.7,497749,5.64,501109,5.55
